ID	LOCAL_ID	DOCULECT	VARIETY	CONCEPT	VALUE	FORM	TOKENS	PLURAL_TOKENS	NOTE	SWADESH	COGIDS	ALIGNMENT
9237	YornoSo-208_bloodfromaseriouswoundflowgushoutpourout-1	YornoSo		(blood from a serious wound) flow, gush out, pour out	tógɛ́:	tóg-ɛ́:	t ó ɡ - ɛ́.ɛ́			1	70	t ó ɡ - ɛ́.ɛ́
13470	BankanTey-322_egbirdfly-1	BankanTey		(e.g. bird) fly	kísíyé	kísíyé	k í s í j é			1	73	k í s í - j - - - é
13471	BenTey-322_egbirdfly-1	BenTey		(e.g. bird) fly	kísíyé	kísíyé	k í s í j é			1	73	k í s í - j - - - é
13472	Bunoge-322_egbirdfly-1	Bunoge		(e.g. bird) fly	píllè	píllè	p í l l è			1	74	p í l l - - - è
13473	DonnoSo-322_egbirdfly-1	DonnoSo		(e.g. bird) fly	kílè:\\kílìỳ	kíl-è:	k í l - è.è			1	73	k í l - - - - - - è.è
13474	Gourou-322_egbirdfly-1	Gourou		(e.g. bird) fly	píré	píré	p í r é			1	75	p í r é - -
13475	JamsayDouentza-322_egbirdfly-1	JamsayDouentza		(e.g. bird) fly	círé	círé	tʃ í r é			1	75	tʃ í r é - -
13476	Mombo-322_egbirdfly-1	Mombo		(e.g. bird) fly	pílyê:	pílyê:	p í l j é.è			1	74	p í - l - - j é.è
13477	Najamba-322_egbirdfly-1	Najamba		(e.g. bird) fly	píríy\\pìrìyè, pílíy\\pìlìyè	pìlì-yè	p ì l ì - j è			1	74	p ì - l ì - j è
13478	Nanga-322_egbirdfly-1	Nanga		(e.g. bird) fly	kísíyé	kísíyé	k í s í j é			1	73	k í s í - j - - - é
13479	Penange-322_egbirdfly-1	Penange		(e.g. bird) fly	pírígè	pírígè	p í r í ɡ è			1	75	p í r í ɡ è
13480	PergeTegu-322_egbirdfly-1	PergeTegu		(e.g. bird) fly	kíríyé	kíríyé	k í r í j é			1	73	k í r í - j - - - é
13481	TebulUre-322_egbirdfly-1	TebulUre		(e.g. bird) fly	cíllí: (cíllí:yà)	cíll-í:	tʃ í l l - í.í			1	76	tʃ í l l - í.í
13482	Tiranige-322_egbirdfly-1	Tiranige		(e.g. bird) fly	pílíyó	pílí-yó	p í l í - j ó			1	74	p í - l í - j ó
13483	TogoKan-322_egbirdfly-1	TogoKan		(e.g. bird) fly	kìrí kírì:	kìrí_kírì:	k ì r í - k í r ì.ì			1	73	k ì r í - - k í r ì.ì
13484	TommoSoTongoTongo-322_egbirdfly-1	TommoSoTongoTongo		(e.g. bird) fly	kíílíyé	kíílí-yé	k í.í l í - j é			1	73	k í.í l í - j - - - é
13485	ToroTegu-322_egbirdfly-1	ToroTegu		(e.g. bird) fly	círú\\círó	círó	tʃ í r ó			1	75	tʃ í r ó - -
13486	YandaDom-322_egbirdfly-1	YandaDom		(e.g. bird) fly	kílíyé\\kílíyélì	kílíyé	k í l í j é			1	73	k í l í - j - - - é
13487	YornoSo-322_egbirdfly-1	YornoSo		(e.g. bird) fly	kílɛ́:\\kílí:	kíl-ɛ́:	k í l - ɛ́.ɛ́			1	73	k í l - - - - - - ɛ́.ɛ́
5282	BankanTey-680_liquiddriponedropatatime-1	BankanTey		(liquid) drip (one drop at a time)	téké	téké	t é k é			0	92	t é k é
5283	BenTey-680_liquiddriponedropatatime-1	BenTey		(liquid) drip (one drop at a time)	tégé	tégé	t é ɡ é			0	92	t é ɡ é
