ID	LOCAL_ID	DOCULECT	VARIETY	CONCEPT	VALUE	FORM	TOKENS	PLURAL_TOKENS	NOTE	SWADESH	COGIDS	ALIGNMENT
4031	TommoSoTongoTongo-163_anyalcoholicbeverage-1	TommoSoTongoTongo		(any) alcoholic beverage	kɔ̀njɔ́	kɔ̀n-jɔ́	k ɔ̀ n - dʒ ɔ́			0	61	k ɔ̀ n - dʒ ɔ́ - - - -
4032	ToroTegu-163_anyalcoholicbeverage-1	ToroTegu		(any) alcoholic beverage	kɔ̀ⁿsɔ́	kɔ̀.∼sɔ́	k ɔ̀ <<∼>> s ɔ́			0	60	k ɔ̀ <<∼>> s ɔ́
4033	YandaDom-163_anyalcoholicbeverage-1	YandaDom		(any) alcoholic beverage	kɔ̀nzɔ̀	kɔ̀n-zɔ̀	k ɔ̀ n - z ɔ̀			0	61	k ɔ̀ n - z ɔ̀ - - - -
4034	YornoSo-163_anyalcoholicbeverage-1	YornoSo		(any) alcoholic beverage	kɔ̀ɲɔ́	kɔ̀ɲɔ́	k ɔ̀ ɲ ɔ́			0	62	k ɔ̀ ɲ ɔ́
10264	BankanTey-208_bloodfromaseriouswoundflowgushoutpourout-1	BankanTey		(blood from a serious wound) flow, gush out, pour out	yɔ̀wɔ́	yɔ̀-wɔ́	j ɔ̀ - w ɔ́			1	73	j ɔ̀ - w ɔ́
10265	BenTey-208_bloodfromaseriouswoundflowgushoutpourout-1	BenTey		(blood from a serious wound) flow, gush out, pour out	tó: tí	tó.ó-tí	t ó ó - t í			1	74	t ó ó - t í
10266	JamsayDouentza-208_bloodfromaseriouswoundflowgushoutpourout-1	JamsayDouentza		(blood from a serious wound) flow, gush out, pour out	yùwɔ́	yùw-ɔ́	j ù w - ɔ́			1	75	j ù w - ɔ́
10267	Mombo-208_bloodfromaseriouswoundflowgushoutpourout-1	Mombo		(blood from a serious wound) flow, gush out, pour out	gwé:	ɡwé-é	ɡ w é - é			1	76	ɡ w é - é
10268	Najamba-208_bloodfromaseriouswoundflowgushoutpourout-1	Najamba		(blood from a serious wound) flow, gush out, pour out	síyɛ́	síy-ɛ́	s í j - ɛ́			1	77	s í j - ɛ́
10269	Nanga-208_bloodfromaseriouswoundflowgushoutpourout-1	Nanga		(blood from a serious wound) flow, gush out, pour out	tíyɛ́	tíy-ɛ́	t í j - ɛ́			1	78	t í j - ɛ́ -
10270	TommoSoTongoTongo-208_bloodfromaseriouswoundflowgushoutpourout-1	TommoSoTongoTongo		(blood from a serious wound) flow, gush out, pour out	gòó	ɡò-ó	ɡ ò - ó			1	79	ɡ ò - ó
