ID	LOCAL_ID	DOCULECT	VARIETY	CONCEPT	VALUE	FORM	TOKENS	PLURAL_TOKENS	NOTE	SWADESH	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS
7460	TommoSoTongoTongo-3536_distantremotekinship-1	TommoSoTongoTongo		distant, remote (kinship)	ìrù wàgé, ìrù pálá	ìrù_pál-á	ì r ù + p á l - á			1	7 5 7 9 1 7 5 0 7	XBZ_AXMBZ	IRY_PAL0A	9	9.I.V 9.R.C 9.Y.V 9._._ 9.P.C 9.A.V 9.L.c 9.0.C 9.A.V	1.5 1.75 0.8 0.0 2.0 1.5 1.1 1.75 0.8	ìrù+pál-á	0	2283 2284
7461	TommoSoTongoTongo-3536_distantremotekinship-2	TommoSoTongoTongo		distant, remote (kinship)	ìrù wàgé, ìrù pálá	ìrù_pál-á	ì r ù + p á l - á			1	7 5 7 9 1 7 5 0 7	XBZ_AXMBZ	IRY_PAL0A	9	9.I.V 9.R.C 9.Y.V 9._._ 9.P.C 9.A.V 9.L.c 9.0.C 9.A.V	1.5 1.75 0.8 0.0 2.0 1.5 1.1 1.75 0.8	ìrù+pál-á	1	2283 2284
7462	YornoSo-3536_distantremotekinship-1	YornoSo		distant, remote (kinship)	wàgú	wàɡ-ú	w à ɡ - ú			1	6 7 1 0 7	AXMBZ	WAK0Y	12	12.W.C 12.A.V 12.K.c 12.0.C 12.Y.V	2.0 1.5 1.1 1.75 0.8	wàɡ-ú	0	2282
10532	BankanTey-3545_dividesharesth-1	BankanTey		divide, share (sth)	kéríyé	kér-í-yé	k é r - í - j é			0	1 7 5 0 7 0 6 7	AXMBYBCZ	KER0I0JE	1	1.K.C 1.E.V 1.R.c 1.0.C 1.I.V 1.0.C 1.J.C 1.E.V	2.0 1.5 1.1 1.75 1.3 1.75 1.5 0.8	kér-í-jé	0	2290
10533	BenTey-3545_dividesharesth-1	BenTey		divide, share (sth)	kéríyé, céríyé	kér-í-yé	k é r - í - j é			0	1 7 5 0 7 0 6 7	AXMBYBCZ	KER0I0JE	2	2.K.C 2.E.V 2.R.c 2.0.C 2.I.V 2.0.C 2.J.C 2.E.V	2.0 1.5 1.1 1.75 1.3 1.75 1.5 0.8	kér-í-jé	0	2290
10534	BenTey-3545_dividesharesth-2	BenTey		divide, share (sth)	kéríyé, céríyé	tʃé-ríyé	t ʃ é - r í j é			0	1 3 7 0 5 7 6 7	ACXBCYBZ	TSE0RIJE	2	2.T.C 2.S.C 2.E.V 2.0.C 2.R.C 2.I.V 2.J.C 2.E.V	2.0 1.5 1.5 1.75 1.5 1.3 1.75 0.8	tʃé-ríjé	0	2296
10541	JamsayDouentza-3545_dividesharesth-1	JamsayDouentza		divide, share (sth)	gàmàrⁿá	ɡàm-à-r.∼á	ɡ à m - à - r <<∼>> á			0	1 7 4 0 7 0 5 0 7	AXMBYBYBZ	KAM0A0R0A	3	3.K.C 3.A.V 3.M.c 3.0.C 3.A.V 3.0.C 3.R.V 3.0.C 3.A.V	2.0 1.5 1.1 1.75 1.3 1.75 1.3 1.75 0.8	ɡàm-à-r<<∼>>á	0	2291
10543	Mombo-3545_dividesharesth-1	Mombo		divide, share (sth)	púrúgè	púr-úɡè	p ú r - ú ɡ è			0	1 7 5 0 7 1 7	AXMBYBZ	PYR0YKE	4	4.P.C 4.Y.V 4.R.c 4.0.C 4.Y.V 4.K.C 4.E.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	púr-úɡè	0	2292
10544	Najamba-3545_dividesharesth-1	Najamba		divide, share (sth)	ká:ŋgíy\\kà:ŋgìyè	kà.-à-ŋɡìyè	k à - à - ŋ ɡ ì j è			0	1 7 0 7 0 4 1 7 6 7	AXBYBYBYBZ	KA0A0NKIJE	5	5.K.C 5.A.V 5.0.C 5.A.V 5.0.C 5.N.V 5.K.C 5.I.V 5.J.C 5.E.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 1.75 0.8	kà-à-ŋɡìjè	0	2293
10545	Najamba-3545_dividesharesth-2	Najamba		divide, share (sth)	ká:ŋgíy\\kà:ŋgìyè	kà.-à-ŋɡìyè	k à - à - ŋ ɡ ì j è			0	1 7 0 7 0 4 1 7 6 7	AXBYBYBYBZ	KA0A0NKIJE	5	5.K.C 5.A.V 5.0.C 5.A.V 5.0.C 5.N.V 5.K.C 5.I.V 5.J.C 5.E.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 1.75 0.8	kà-à-ŋɡìjè	1	2293
