ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Grouped_Segments,Grouped_Plural_Segments,Plural_Segments,Plural_Form,Dialect
TommoSoTongoTongo-2771_camel-1,,TommoSoTongoTongo,2771_camel,ɲòŋóm,ɲòŋó-m,ɲ ò ŋ ó + m,,heathdogon,,,,,ɲ ò ŋ ó + m,ɲ ò ŋ ó + m ⁿb e,ɲ ò ŋ ó + m ⁿb e,ɲòŋó-m=mbe,
TomoKanDiangassagou-2771_camel-1,,TomoKanDiangassagou,2771_camel,ɲɔ̀ŋɛ̀mɛ́,ɲɔ̀ŋɛ̀-mɛ́,ɲ ɔ̀ ŋ ɛ̀ + m ɛ́,,heathdogon,,,,,ɲ ɔ̀ ŋ ɛ̀ + m ɛ́,,,,
TomoKanSegue-2771_camel-1,,TomoKanSegue,2771_camel,ɲɔ̀ʔɔ̀mɛ́,ɲɔ̀ʔɔ̀-mɛ́,ɲ ɔ̀ ʔ ɔ̀ + m ɛ́,,heathdogon,,,,,ɲ ɔ̀ ʔ ɔ̀ + m ɛ́,,,,
ToroTegu-2771_camel-1,,ToroTegu,2771_camel,ɲɔ́,ɲɔ́,ɲ ɔ́,,heathdogon,,,,,ɲ ɔ́,,,,
YandaDom-2771_camel-1,,YandaDom,2771_camel,ɔ̀gɔ̀ɲɔ̀ŋɔ̀\\mú,ɔ̀gɔ̀_ɲɔ̀ŋɔ̀,ɔ̀ ɡ ɔ̀ + ɲ ɔ̀ ŋ ɔ̀,,heathdogon,,,,,ɔ̀ ɡ ɔ̀ + ɲ ɔ̀ ŋ ɔ̀,ɔ̀ ɡ ɔ̀ + ɲ ɔ̀ ŋ ɔ̀ + m ú,ɔ̀ ɡ ɔ̀ + ɲ ɔ̀ ŋ ɔ̀ + m ú,ɔ̀gɔ̀-ɲɔ̀ŋɔ̀-mú,
YornoSo-2771_camel-1,,YornoSo,2771_camel,ɔ̀gɔ̀yɔ̌:ⁿ,ɔ̀gɔ̀_yɔ̌:ⁿ,ɔ̀ ɡ ɔ̀ + j ɔ̌ː ∼,,heathdogon,,,,,ɔ̀ ɡ ɔ̀ + j ɔ̌ː ∼,,,,
BankanTey-2822_cat-1,,BankanTey,2822_cat,nùmǎm\\nùmá,nùmǎ-m,n ù m ǎ + m,,heathdogon,,,,,n ù m ǎ + m,n ù m á,n ù m á,nùmá,
BenTey-2822_cat-1,,BenTey,2822_cat,nìnìwⁿɛ̌m\\nìnìwⁿɛ́,nì-nìwⁿɛ̌-m,n ì + n ì w ə ∼ ɛ̌ + m,,heathdogon,,,,,n ì + n ì w.ə ∼ ɛ̌ + m,n ì + n ì w.ə ∼ ɛ́,n ì + n ì w ə ∼ ɛ́,nì-nìwⁿɛ́,
Bunoge-2822_cat-1,,Bunoge,2822_cat,ɲá:lì,ɲá:lì,ɲ áː l ì,,heathdogon,,,,,ɲ áː l ì,,,,
DogulDomBendiely-2822_cat-1,,DogulDomBendiely,2822_cat,gáàŋ,gáàŋ,ɡ á à ŋ,,heathdogon,,,,,ɡ á.à ŋ,,,,
DogulDomKundialang-2822_cat-1,,DogulDomKundialang,2822_cat,gâ:ŋ (gâ:ŋ yà:),gâ:ŋ,ɡ âː ŋ,,heathdogon,,,,,ɡ âː ŋ,ɡ âː ŋ + j àː,ɡ âː ŋ + j àː,gâ:ŋ_yà:,
DonnoSo-2822_cat-1,,DonnoSo,2822_cat,gámmà,gámmà,ɡ á m m à,,heathdogon,,,,,ɡ á m m à,,,,
Gourou-2822_cat-1,,Gourou,2822_cat,nìnìwⁿé,nì_nì-wⁿé,n ì + n ì + w ə ∼ é,,heathdogon,,,,,n ì + n ì + w.ə ∼ é,,,,
JamsayDouentza-2822_cat-1,,JamsayDouentza,2822_cat,nìnìwⁿé,nì_nì-wⁿé,n ì + n ì + w ə ∼ é,,heathdogon,,,,,n ì + n ì + w.ə ∼ é,,,,
Mombo-2822_cat-1,,Mombo,2822_cat,gà:wⁿě,gà:-wⁿě,ɡ àː + w ə ∼ ě,,heathdogon,,,,,ɡ àː + w.ə ∼ ě,,,,
Najamba-2822_cat-1,,Najamba,2822_cat,gáŋà\\gáŋàmbò,gáŋà,ɡ á ŋ à,,heathdogon,,,,,ɡ á ŋ à,ɡ á ŋ à + ⁿb ò,ɡ á ŋ à + ⁿb ò,gáŋà-mbò,
Nanga-2822_cat-1,,Nanga,2822_cat,dòndíyê,dòndíyê,d ò ⁿd í j ê,,heathdogon,,,,,d ò ⁿd í j ê,,,,
Penange-2822_cat-1,,Penange,2822_cat,gà:ⁿ,gà:ⁿ,ɡ ã̀ː,,heathdogon,,,,,ɡ ã̀ː,,,,
PergeTegu-2822_cat-1,,PergeTegu,2822_cat,nìnìwⁿé,nì_nì-wⁿé,n ì + n ì + w ə ∼ é,,heathdogon,,,,,n ì + n ì + w.ə ∼ é,,,,
TebulUre-2822_cat-1,,TebulUre,2822_cat,bàlmá\\bàlmàmbɔ́,bàlmá,b à l m á,,heathdogon,,,,,b à l m á,b à l m à + ⁿb ɔ́,b à l m à + ⁿb ɔ́,bàlmà-mbɔ́,
Tiranige-2822_cat-1,,Tiranige,2822_cat,gà:nà,gà:nà,ɡ àː n à,,heathdogon,,,,,ɡ àː n à,,,,
TogoKan-2822_cat-1,,TogoKan,2822_cat,dònó,dònó,d ò n ó,,heathdogon,,,,,d ò n ó,,,,
TommoSoTongoTongo-2822_cat-1,,TommoSoTongoTongo,2822_cat,gámmá,gá-m-má,ɡ á + m + m á,,heathdogon,,,,,ɡ á + m + m á,ɡ á m m á ⁿb e,ɡ á m m á ⁿb e,gámmá=mbe,
TomoKanDiangassagou-2822_cat-1,,TomoKanDiangassagou,2822_cat,dòndò,dòndò,d ò ⁿd ò,,heathdogon,,,,,d ò ⁿd ò,,,,
